District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7731417,74.4457629,21,6.687898089,6,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7731689,74.4457414,22,7.002817496,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7732065,74.4456193,20,6.366197724,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7732279,74.4455427,22,7.002817496,7,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729287,74.446475,27,8.594366927,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729328,74.4464891,22,7.002817496,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729441,74.4464075,33,10.50422624,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730081,74.446262,18,5.729577951,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729664,74.4460851,32,10.18591636,7,5,5,5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730225,74.4460379,18,5.729577951,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730717,74.4459055,18,5.729577951,6,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7731223,74.4457076,22,7.002817496,6,32,5,18.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730862,74.4457316,20,6.366197724,5,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730972,74.4456066,22,7.002817496,5,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730662,74.4455892,16,5.092958179,4,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728526,74.4464891,15,4.774648293,4,2,3,2.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728228,74.446418,20,6.366197724,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728422,74.4463731,20,6.366197724,7,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728963,74.4462853,22,7.002817496,8,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728939,74.4461358,20,6.366197724,4,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729411,74.4460746,23,7.321127382,8,6,5,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729819,74.4457983,20,6.366197724,6,6,5,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772997,74.445718,14,4.456338407,5,4,3,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730523,74.4456021,22,7.002817496,8,6,6,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7730578,74.4453982,20,6.366197724,8,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727465,74.4464911,20,6.366197724,7,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727935,74.4462368,15,4.774648293,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727985,74.4462458,16,5.092958179,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728253,74.4461437,17,5.411268065,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729004,74.4458269,17,5.411268065,6,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728935,74.4458148,24,7.639437268,8,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729348,74.4455921,28,8.912676813,6,5,4,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7729349,74.4455941,18,5.729577951,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.772616,74.4465228,19,6.047887837,7,4,5,4.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726779,74.4463827,15,4.774648293,5,3,3,3,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727255,74.4462821,24,7.639437268,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726999,74.4461818,28,8.912676813,8,6,5,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727446,74.4460947,22,7.002817496,5,3,4,3.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727695,74.4460287,20,6.366197724,8,6,5,5.5,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727947,74.4458023,20,6.366197724,6,7,5,6,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7727916,74.445802,15,4.774648293,6,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728637,74.445603,17,5.414012739,5,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7728478,74.4455759,20,6.369426752,8,4,4,4,3.25
Ahmednagar,Shrigonda,July 2023,2020,Fruit,Mango,18.7726144,74.4464776,20,6.369426752,8,5,5,5,3.25
