District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,true_dbh,pred_dbh,rel_err_pct,in_90
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1262782,79.9946777,168.0,53.50318471,40.0,26.0,30.0,28.0,31.33,12.192,8.5344,53.50318471,41.465086123304395,-22.499779502743554,True
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464524,74.965304,20.0,6.369426752,8.0,4.0,5.0,4.5,3.33,2.4384,1.3716000000000002,6.369426752,6.121694596796563,-3.889394836445037,True
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7466195,74.9651486,24.0,7.643312102,9.0,6.0,7.0,6.5,3.33,2.7432000000000003,1.9812,7.643312101999999,6.88057273266928,-9.979173415293825,True
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464961,74.9654124,22.0,7.006369427,8.0,6.0,6.0,6.0,3.33,2.4384,1.8288000000000002,7.006369427,6.375365957512198,-9.006140427824777,True
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1263299,79.9948569,29.0,9.23566879,22.0,10.0,2.0,6.0,31.33,6.7056000000000004,1.8288000000000002,9.23566879,20.67813101027623,123.89424610663447,False
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464591,74.9652366,36.0,11.46496815,9.0,6.0,6.0,6.0,3.33,2.7432000000000003,1.8288000000000002,11.464968150000002,6.741196911359322,-41.201782480666374,False
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7467079,74.9653494,17.0,5.414012739,8.0,4.0,4.0,4.0,3.33,2.4384,1.2192,5.414012739,6.042952997579155,11.616896540500633,True
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7466638,74.9652563,15.0,4.777070064,5.0,4.0,5.0,4.5,3.33,1.524,1.3716000000000002,4.777070064,4.999527910750661,4.656784258349137,True
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1263189,79.9945078,87.0,27.70700637,32.0,18.0,16.0,17.0,31.33,9.7536,5.1816,27.707006369999995,31.449469530417144,13.50728083157094,True
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466499,74.9656445,15.0,4.777070064,7.0,3.0,3.0,3.0,3.33,2.1336,0.9144000000000001,4.777070064,4.421395463156129,-7.445454977188526,True
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466172,74.9658164,14.0,4.458598726,9.0,4.0,4.0,4.0,3.33,2.7432000000000003,1.2192,4.458598726,4.436451282188284,-0.49673552550411193,True
Ahmednagar,Karjat,March 2024,2019.0,Wild,Bakul,18.7466567,74.965795,20.0,6.369426752,7.0,6.0,5.0,5.5,4.92,2.1336,1.6764000000000001,6.369426752,5.872809717119155,-7.796887447130259,True
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466504,74.965926,12.0,3.821656051,6.0,4.0,3.0,3.5,3.33,1.8288000000000002,1.0668,3.821656051,4.6933377278848845,22.8090038782217,True
Ahmednagar,Karjat,March 2024,2019.0,Wild,Bakul,18.746584,74.9653997,7.0,2.229299363,4.0,6.0,7.0,6.5,4.92,1.2192,1.9812,2.229299363,6.876461728137466,208.45842609866955,False
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7467037,74.9657874,11.0,3.503184713,8.0,33.0,3.0,18.0,3.33,2.4384,5.486400000000001,3.503184713,6.138408436185318,75.22365901535944,False
Ahmednagar,Karjat,August 2023,2019.0,Wild,Bamboo,18.6470374,75.0623,25.0,7.961783439,15.0,11.0,11.0,11.0,4.33,4.572,3.3528000000000002,7.961783439,8.59301203375484,7.928231150609172,True
Ahmednagar,Karjat,August 2023,2019.0,Wild,Bamboo,18.646986,75.0621784,30.0,9.554140127,17.0,10.0,10.0,10.0,4.33,5.1816,3.048,9.554140127,8.506082556632698,-10.969669236957193,True
Ahmednagar,Karjat,August 2023,2019.0,Wild,Bamboo,18.6469804,75.0623263,39.0,12.42038217,15.0,10.0,9.0,9.5,4.33,4.572,2.8956,12.420382169999998,8.095496780949107,-34.82087209439621,True
Ahmednagar,Karjat,August 2023,2019.0,Wild,Bamboo,18.6469079,75.0622936,34.0,10.82802548,15.0,10.0,9.0,9.5,4.33,4.572,2.8956,10.82802548,8.152535188724487,-24.708939743606084,True
Ahmednagar,Karjat,August 2023,2019.0,Fruit,Bamboo,18.6462563,75.0621497,13.0,4.140127389,15.0,11.0,11.0,11.0,4.33,4.572,3.3528000000000002,4.140127389,8.593159784468767,107.55785938616604,False
Ahmednagar,Karjat,August 2023,2019.0,Wild,Bamboo,18.6468214,75.0621562,15.0,4.777070064,18.0,11.0,11.0,11.0,4.33,5.486400000000001,3.3528000000000002,4.777070064,8.882762097517867,85.94581989614015,False
