District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1262782,79.9946777,168.0,53.50318471,40.0,26.0,30.0,28.0,31.33,12.192,8.5344,1.0,53.50318471,41.69129885880105,-22.07697712803861,True,False,3236.190807035221,1814.2567888073431
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464524,74.965304,20.0,6.369426752,8.0,4.0,5.0,4.5,3.33,2.4384,1.3716000000000002,1.0,6.369426752,6.148940058461281,-3.4616410883363447,True,False,23.21165870931023,21.38995996736361
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7466195,74.9651486,24.0,7.643312102,9.0,6.0,7.0,6.5,3.33,2.7432000000000003,1.9812,1.0,7.643312101999999,6.984396347008365,-8.620814461039968,True,False,35.432897434458596,28.745665221613052
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464961,74.9654124,22.0,7.006369427,8.0,6.0,6.0,6.0,3.33,2.4384,1.8288000000000002,1.0,7.006369427,6.4001338675736195,-8.652634802415204,True,False,28.955909184533045,23.472102027756737
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1263299,79.9948569,29.0,9.23566879,22.0,10.0,2.0,6.0,31.33,6.7056000000000004,1.8288000000000002,1.0,9.23566879,20.465124237647103,121.58789691338751,False,False,54.96420382739869,348.1342437114074
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7464591,74.9652366,36.0,11.46496815,9.0,6.0,6.0,6.0,3.33,2.7432000000000003,1.8288000000000002,1.0,11.464968150000002,6.81201490694798,-40.584092185655315,False,False,90.76917493401163,27.12643600329221
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7467079,74.9653494,17.0,5.414012739,8.0,4.0,4.0,4.0,3.33,2.4384,1.2192,1.0,5.414012739,6.024388400681735,11.273997515463448,True,False,15.920550619963201,20.398181208656403
Ahmednagar,Karjat,August 2023,2020.0,Wild,Amla,18.7466638,74.9652563,15.0,4.777070064,5.0,4.0,5.0,4.5,3.33,1.524,1.3716000000000002,1.0,4.777070064,5.011616633646736,4.909841524290775,True,True,11.908259975651667,13.308893914043695
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Amla,20.1263189,79.9945078,87.0,27.70700637,32.0,18.0,16.0,17.0,31.33,9.7536,5.1816,1.0,27.707006369999995,31.54090894160956,13.83730353402869,True,False,703.0743474057459,949.6892554965059
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466499,74.9656445,15.0,4.777070064,7.0,3.0,3.0,3.0,3.33,2.1336,0.9144000000000001,1.0,4.777070064,4.566203224485546,-4.414145840220059,True,True,11.908259975651667,10.724116377751924
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466172,74.9658164,14.0,4.458598726,9.0,4.0,4.0,4.0,3.33,2.7432000000000003,1.2192,1.0,4.458598726,4.6442001886819675,4.162775663116886,True,True,10.146905811689306,11.153899616055334
Ahmednagar,Karjat,March 2024,2019.0,Wild,Bakul,18.7466567,74.965795,20.0,6.369426752,7.0,6.0,5.0,5.5,4.92,2.1336,1.6764000000000001,1.0,6.369426752,5.857836098354141,-8.031973261725943,True,False,23.21165870931023,19.113653601008917
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7466504,74.965926,12.0,3.821656051,6.0,4.0,3.0,3.5,3.33,1.8288000000000002,1.0668,1.0,3.821656051,5.025274456021559,31.494681597696676,True,True,7.09605670261685,13.393191325087557
Ahmednagar,Karjat,March 2024,2019.0,Wild,Bakul,18.746584,74.9653997,7.0,2.229299363,4.0,6.0,7.0,6.5,4.92,1.2192,1.9812,1.0,2.229299363,7.08754793520941,217.92715024471167,False,True,2.032095149120845,29.74021550043978
Pune,Shirur,August 2023,2020.0,Wild,Bakul,18.7467037,74.9657874,11.0,3.503184713,8.0,33.0,3.0,18.0,3.33,2.4384,5.486400000000001,1.0,3.503184713,7.506553912448627,114.27799352379246,False,True,5.798926654567344,33.979390191989964
