District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7731417,74.4457629,21.0,6.687898089,6.0,4.0,5.0,4.5,3.25,1.8288000000000002,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7731689,74.4457414,22.0,7.002817496,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7732065,74.4456193,20.0,6.366197724,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729287,74.446475,27.0,8.594366927,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729328,74.4464891,22.0,7.002817496,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729441,74.4464075,33.0,10.50422624,6.0,4.0,4.0,4.0,3.25,1.8288000000000002,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7730081,74.446262,18.0,5.729577951,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729664,74.4460851,32.0,10.18591636,7.0,5.0,5.0,5.0,3.25,2.1336,1.524,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7730225,74.4460379,18.0,5.729577951,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7731223,74.4457076,22.0,7.002817496,6.0,32.0,5.0,18.5,3.25,1.8288000000000002,5.638800000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7730972,74.4456066,22.0,7.002817496,5.0,4.0,3.0,3.5,3.25,1.524,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7730662,74.4455892,16.0,5.092958179,4.0,3.0,3.0,3.0,3.25,1.2192,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728963,74.4462853,22.0,7.002817496,8.0,6.0,6.0,6.0,3.25,2.4384,1.8288000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728939,74.4461358,20.0,6.366197724,4.0,3.0,3.0,3.0,3.25,1.2192,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729411,74.4460746,23.0,7.321127382,8.0,6.0,5.0,5.5,3.25,2.4384,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729819,74.4457983,20.0,6.366197724,6.0,6.0,5.0,5.5,3.25,1.8288000000000002,1.6764000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.772997,74.445718,14.0,4.456338407,5.0,4.0,3.0,3.5,3.25,1.524,1.0668,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7730578,74.4453982,20.0,6.366197724,8.0,4.0,5.0,4.5,3.25,2.4384,1.3716000000000002,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727465,74.4464911,20.0,6.366197724,7.0,4.0,4.0,4.0,3.25,2.1336,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7727985,74.4462458,16.0,5.092958179,5.0,3.0,3.0,3.0,3.25,1.524,0.9144000000000001,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7728253,74.4461437,17.0,5.411268065,5.0,4.0,4.0,4.0,3.25,1.524,1.2192,1.0
Ahmednagar,Shrigonda,July 2023,2020.0,Fruit,Mango,18.7729004,74.4458269,17.0,5.411268065,6.0,4.0,5.0,4.5,3.25,1.8288000000000002,1.3716000000000002,1.0
